Property ID,Map Location
P943,"https://www.google.com/maps/place/L%26T+Raintree+Boulevard/@13.2712735,77.6391389,11.9z/data=!4m6!3m5!1s0x3bae17cc9ce269ef:0x1f67c8d4971c1006!8m2!3d13.0696673!4d77.5923666!16s%2Fg%2F11h4mtrxcw?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P942,"https://www.google.com/maps/place/Assetz+Promise+of+Spring,+Hobli,+Devanahalli,+Bengaluru,+Karnataka/@13.2712735,77.6391389,11.9z/data=!4m5!3m4!1s0x3bb1e3003a9fcaf5:0x1be9ad1be464d069!8m2!3d13.2889771!4d77.7238473?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P941,"https://www.google.com/maps/place/Assetz+Promise+of+Spring,+Hobli,+Devanahalli,+Bengaluru,+Karnataka/@13.2712735,77.6391389,11.9z/data=!4m5!3m4!1s0x3bb1e3003a9fcaf5:0x1be9ad1be464d069!8m2!3d13.2889771!4d77.7238473?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P940,"https://www.google.com/maps/place/Assetz+Promise+of+Spring,+Hobli,+Devanahalli,+Bengaluru,+Karnataka/@13.2712735,77.6391389,11.9z/data=!4m5!3m4!1s0x3bb1e3003a9fcaf5:0x1be9ad1be464d069!8m2!3d13.2889771!4d77.7238473?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P939,"https://www.google.com/maps/place/Godrej+Ananda,+Bangalore/@13.2035355,77.463121,10.25z/data=!4m6!3m5!1s0x3bae1b413aeea35b:0x20035784b271ee37!8m2!3d13.1475287!4d77.6776159!16s%2Fg%2F11r5rsq10l?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P938,"https://www.google.com/maps/place/Prestige+Finsbury+Park/@13.1423581,77.6841709,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1be8f0000001:0x1b7881e677b5fba1!8m2!3d13.1423581!4d77.6841709!16s%2Fg%2F11fk_6h67q?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P937,"https://www.google.com/maps/place/Avalon+Park+@+The+Prestige+City/@12.8855283,77.5816668,12z/data=!4m6!3m5!1s0x3bae72e87974ebcf:0x2a532470d3ca1ff0!8m2!3d12.8783033!4d77.7719523!16s%2Fg%2F11pdsdkv6f?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P936,"https://www.google.com/maps/place/DLF+Westend+Heights+Apartments/@12.8742439,77.6178406,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b3245555555:0xe1f51ea2610bd3b8!8m2!3d12.8742439!4d77.6204155!16s%2Fg%2F11c67qzdd8?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P935,"https://www.google.com/maps/place/KBL+ELITE+LAYOUT/@12.874656,77.5707193,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b6876005145:0x663bf40450c99ded!8m2!3d12.874656!4d77.5753327!16s%2Fg%2F11f7mc50h4?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P934,"https://www.google.com/maps/place/Frontier+Heights,+Kasavanahalli+Main+Road,+Haralur,+Karnataka/@13.0526582,77.7905271,10.81z/data=!4m5!3m4!1s0x3bae131e810311e5:0xcbef1da0f50d5982!8m2!3d12.8933668!4d77.6736228?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P933,"https://www.google.com/maps/place/Radiance+Blossom/@13.0768093,77.7339685,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1ab1d370f01b:0xf55dd2884eb46175!8m2!3d13.0768093!4d77.7365434!16s%2Fg%2F11f4m9j9kq?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P932,"https://www.google.com/maps/place/Vasundhara+Layout,+Glass+Factory+Layout,+Electronic+City,+Bengaluru,+Karnataka+560100/@12.8301224,77.6920771,16z/data=!3m1!4b1!4m6!3m5!1s0x3bae6c5370100b45:0x4dde157efadbd06a!8m2!3d12.8298381!4d77.6976307!16s%2Fg%2F1tfz8mtm?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P931,"https://www.google.com/maps/place/Incor+Carmel+Heights/@12.9524674,77.7890889,11.85z/data=!4m6!3m5!1s0x3bae0d3c96f3be75:0xed7fcb9b69076fb2!8m2!3d12.9604192!4d77.7478952!16s%2Fg%2F11g2xnnb7j?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P930,"https://www.google.com/maps/place/Sumadhura+Soham,+ECC+Road,+Beside+GR+Tech+Park,+Pattandur+Agrahara,+Whitefield,+Bengaluru,+Karnataka/@12.9727246,77.7603326,17z/data=!4m5!3m4!1s0x3bae11eb77825561:0xe416eb3ffad7df9c!8m2!3d12.9796137!4d77.742682?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P929,"https://www.google.com/maps/place/SOBHA+Windsor/@12.9727246,77.7603326,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0da8088ccce5:0x8f67987bb9084cd0!8m2!3d12.9727246!4d77.7629075!16s%2Fg%2F11h0_pfcly?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P928,"https://www.google.com/maps/place/Adarsh+Palm+Meadows/@12.9595029,77.7382077,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae120b95555555:0xc07172240a151a64!8m2!3d12.9595029!4d77.7407826!16s%2Fg%2F11j3xn8702?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P927,"https://www.google.com/maps/place/Adarsh+Serenity/@13.0069154,77.738081,11.44z/data=!4m6!3m5!1s0x3bae0fc8976da7fd:0x766bb657ca9b222!8m2!3d13.0306082!4d77.7629887!16s%2Fg%2F1tfqd7hm?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P926,"https://www.google.com/maps/place/The+Grand+Strand+Address/@12.9884433,77.7256403,14.17z/data=!4m6!3m5!1s0x3bae118c90f24639:0x7ddbddec6f825142!8m2!3d12.9891447!4d77.7256634!16s%2Fg%2F11v3xkd9dp?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P925,"https://www.google.com/maps/place/SOBHA+Windsor/@12.9727246,77.7603326,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0da8088ccce5:0x8f67987bb9084cd0!8m2!3d12.9727246!4d77.7629075!16s%2Fg%2F11h0_pfcly?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P924,"https://www.google.com/maps/place/Great+Acres+@+The+Prestige+City/@12.8758645,77.7780311,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae7311c13c1ddd:0xdf3a69af8b753745!8m2!3d12.8758645!4d77.780606!16s%2Fg%2F11n_kr9djq?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P923,"https://www.google.com/maps/place/Nambiar+Ellegenza/@12.8655918,77.7146741,13.02z/data=!4m6!3m5!1s0x3bae6d71e2730365:0x34c3f0269c053f82!8m2!3d12.8419055!4d77.7303906!16s%2Fg%2F11clyt2q9j?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P922,"https://www.google.com/maps/place/Sterling+Villa+Grande/@13.0113086,77.757041,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0f7730770369:0xf1308a2b4e2200eb!8m2!3d13.0113086!4d77.7596159!16s%2Fg%2F11g1lmdhp3?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P921,"https://www.google.com/maps/place/Purva+Parkridge/@12.995696,77.6276691,12z/data=!4m6!3m5!1s0x3bae11769448ed95:0x11dc79186fef30cf!8m2!3d12.987843!4d77.6951219!16s%2Fg%2F1wt3lvbh?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P919,"https://www.google.com/maps/place/Vaswani+Pinnacle/@12.9672608,77.7501224,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0df96316e921:0x902279ac5a00e6!8m2!3d12.9672608!4d77.7501224!16s%2Fg%2F1hhj3kvvs?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P918,"https://www.google.com/maps/place/Sobha+Adamus/@13.005762,77.6121638,11.06z/data=!4m6!3m5!1s0x3bae0fcf5817d5e7:0xf494de6b0b2d70aa!8m2!3d13.031605!4d77.7619317!16s%2Fg%2F11df816dsk?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P917,"https://www.google.com/maps/place/Sobha+Lifestyle+Legacy/@13.2320119,77.6744495,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1ded98c0a457:0xafae18a5fd0549e7!8m2!3d13.2320119!4d77.6744495!16s%2Fg%2F11bzq2nffn?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P916,"https://www.google.com/maps/place/Prestige+White+Meadows/@12.9746903,77.7508493,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0e075e402bb3:0xd81374e18fa7a9a7!8m2!3d12.9746903!4d77.7508493!16s%2Fg%2F11c1p2k_4j?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P915,"https://www.google.com/maps/place/Adarsh+Sanctuary/@12.8817459,77.7004886,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1363a78b4889:0xac860261de811890!8m2!3d12.8817459!4d77.7030635!16s%2Fg%2F11jcs49zqc?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P914,"https://www.google.com/maps/place/HEBRON+ENCLAVE,+Margondanahalli,+Bengaluru,+Karnataka+560049/@13.0308849,77.6996965,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae105879e048a7:0x2f93bf388decf6b4!8m2!3d13.0305387!4d77.6997775!16s%2Fg%2F11j36d9p31?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P913,"https://www.google.com/maps/place/Geown+Lawnsway/@12.931335,77.7049868,12.5z/data=!4m6!3m5!1s0x3bae0d6574e1d1c3:0xb5d420898f202ddd!8m2!3d12.914847!4d77.755937!16s%2Fg%2F1hhvsy363?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P912,"https://www.google.com/maps/place/Hosa+Road,+Parappana+Agrahara,+Bengaluru,+Karnataka/@12.8710902,77.6558725,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6ca84de2fcd3:0xf0aef0d97aee343c!8m2!3d12.8705558!4d77.6557601!16s%2Fg%2F11b5qs1rfs?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
