Property ID,Map Location,Latitude,Longitude
P964,https://maps.app.goo.gl/nqbcJXEUkuktSK1T6,13.0956323,77.6133881
P963,https://maps.app.goo.gl/xerQ7Pyb1McYDWEJ6,13.0194398,77.3261995
P962,https://maps.app.goo.gl/ZCNYVCrHgX13WQ5Z7,12.9658713,77.7405323
P961,https://maps.app.goo.gl/U6Zk3Zbuhw1oGT5i7,12.9543333,77.7001152
P960,,,
P959,https://maps.app.goo.gl/rNTGpdpoVSzgTCX59,13.0535115,77.6513675
P958,https://maps.app.goo.gl/v4TV8kkzVBZo23is6,12.8030117,77.6073784
P957,https://maps.app.goo.gl/v4TV8kkzVBZo23is6,12.8030117,77.6073784
P956,https://maps.app.goo.gl/CJbAxB3NjJ8HvAM36,12.9267744,77.5312257
P955,https://maps.app.goo.gl/fmcPADygwozTimws5,13.0366608,77.2960814
P954,https://maps.app.goo.gl/X9w2uAPUBTQTEwtt6,12.9543324,77.5776542
P953,https://maps.app.goo.gl/HNM7By7dkwdW97w66,12.8922046,77.5710312
P952,https://maps.app.goo.gl/APCEokJFbn59BCa36,12.9272283,77.4958131
P950,https://maps.app.goo.gl/PyDJPhg247dmn8UH9,13.0642683,77.631555
P949,https://maps.app.goo.gl/o3wSF38AqxZMycRQ6,13.1021525,77.6287337
P948,https://maps.app.goo.gl/yPeWKXugUxxsgE3B9,12.9925084,77.5653507
P947,https://maps.app.goo.gl/yPeWKXugUxxsgE3B9,12.9925084,77.5653507
P946,https://maps.app.goo.gl/7Ng4zwtBxMNwr6h3A,12.9793186,77.5465588
P945,"https://www.google.com/maps/place/Sowparnika+Tharangini/@12.8384157,77.7134935,11.63z/data=!4m6!3m5!1s0x3bae72d75e2a496d:0x7542c48f0768a55c!8m2!3d12.8832686!4d77.7872965!16s%2Fg%2F11cjj3c351?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8384157,77.7134935
